書名,特集タイトル,URL
ユリイカ1988年12月臨時増刊号,総特集＝ル・コルビュジエ,https://www.seidosha.co.jp/book/index.php?id=2908&status=published
ユリイカ1988年8月臨時増刊号,総特集＝大友克洋,https://www.seidosha.co.jp/book/index.php?id=2907&status=published
ユリイカ1989年6月臨時増刊号,総特集＝村上春樹の世界,https://www.seidosha.co.jp/book/index.php?id=2906&status=published
ユリイカ1996年12月号,特集＝アントナン・アルトー,https://www.seidosha.co.jp/book/index.php?id=2905&status=published
ユリイカ1996年11月号,特集＝クィア・リーディング,https://www.seidosha.co.jp/book/index.php?id=2904&status=published
ユリイカ1996年10月号,特集＝ドゥルーズ『シネマ』を読む,https://www.seidosha.co.jp/book/index.php?id=2903&status=published
ユリイカ1996年9月号,特集＝還ってきたセザンヌ,https://www.seidosha.co.jp/book/index.php?id=2902&status=published
ユリイカ1996年8月臨時増刊号,総特集＝ソクーロフ,https://www.seidosha.co.jp/book/index.php?id=2901&status=published
ユリイカ1996年8月号,特集＝ジャパニメーション！,https://www.seidosha.co.jp/book/index.php?id=2900&status=published
ユリイカ1996年7月号,特集＝マーク・トウェイン,https://www.seidosha.co.jp/book/index.php?id=2899&status=published
ユリイカ1996年6月号,特集＝ロラン・バルト,https://www.seidosha.co.jp/book/index.php?id=2898&status=published
ユリイカ1996年5月号,特集＝ハイナー・ミュラー,https://www.seidosha.co.jp/book/index.php?id=2897&status=published
ユリイカ1996年4月号,特集＝空中庭園,https://www.seidosha.co.jp/book/index.php?id=2896&status=published
ユリイカ1996年3月号,特集＝ネイチャーライティング,https://www.seidosha.co.jp/book/index.php?id=2895&status=published
ユリイカ1996年2月号,特集＝ベケット,https://www.seidosha.co.jp/book/index.php?id=2894&status=published
ユリイカ1996年1月臨時増刊号,総特集＝荒木経惟,https://www.seidosha.co.jp/book/index.php?id=2893&status=published
ユリイカ1996年1月号,特集＝バッハ,https://www.seidosha.co.jp/book/index.php?id=2892&status=published
ユリイカ1997年12月号,特集＝フォークナー,https://www.seidosha.co.jp/book/index.php?id=2891&status=published
ユリイカ1997年11月号,特集＝バロウズのいない世界,https://www.seidosha.co.jp/book/index.php?id=2890&status=published
ユリイカ1997年10月号,特集＝日本映画,https://www.seidosha.co.jp/book/index.php?id=2889&status=published
ユリイカ1997年9月号,特集＝児童文学,https://www.seidosha.co.jp/book/index.php?id=2888&status=published
ユリイカ1997年8月臨時増刊号,総特集＝宮崎駿の世界,https://www.seidosha.co.jp/book/index.php?id=2950&status=published
ユリイカ1997年8月号,特集＝エキゾティシズム,https://www.seidosha.co.jp/book/index.php?id=2949&status=published
ユリイカ1997年7月号,特集＝バタイユ,https://www.seidosha.co.jp/book/index.php?id=2887&status=published
ユリイカ1997年6月臨時増刊号,総特集＝村上龍,https://www.seidosha.co.jp/book/index.php?id=2886&status=published
ユリイカ1997年6月号,特集＝古書の博物誌,https://www.seidosha.co.jp/book/index.php?id=2885&status=published
ユリイカ1997年5月号,特集＝香港映画,https://www.seidosha.co.jp/book/index.php?id=2884&status=published
ユリイカ1997年4月臨時増刊号,総特集＝20世紀を読む,https://www.seidosha.co.jp/book/index.php?id=2883&status=published
ユリイカ1997年3月号,特集＝永井荷風,https://www.seidosha.co.jp/book/index.php?id=2881&status=published
ユリイカ1997年2月号,特集＝世界の神話をどう読むか,https://www.seidosha.co.jp/book/index.php?id=2880&status=published
ユリイカ1997年1月号,特集＝ジョン・ゾーン,https://www.seidosha.co.jp/book/index.php?id=2879&status=published
ユリイカ1998年12月号,特集＝女神,https://www.seidosha.co.jp/book/index.php?id=2878&status=published
ユリイカ1998年11月号,特集＝オーネット・コールマン,https://www.seidosha.co.jp/book/index.php?id=2877&status=published
ユリイカ1998年10月号,特集＝60年代ゴダール,https://www.seidosha.co.jp/book/index.php?id=2876&status=published
ユリイカ1998年9月号,特集＝『西遊記』,https://www.seidosha.co.jp/book/index.php?id=2875&status=published
ユリイカ1998年8月臨時増刊号,総特集＝怪談,https://www.seidosha.co.jp/book/index.php?id=2874&status=published
ユリイカ1998年8月号,特集＝島尾敏雄,https://www.seidosha.co.jp/book/index.php?id=2873&status=published
ユリイカ1998年7月号,特集＝ジョイス,https://www.seidosha.co.jp/book/index.php?id=2872&status=published
ユリイカ1998年6月臨時増刊号,総特集＝太宰治,https://www.seidosha.co.jp/book/index.php?id=2871&status=published
ユリイカ1998年6月号,特集＝ボサノヴァ,https://www.seidosha.co.jp/book/index.php?id=2870&status=published
ユリイカ1998年5月号,特集＝文字,https://www.seidosha.co.jp/book/index.php?id=2869&status=published
ユリイカ1998年4月号,特集＝トーベ・ヤンソンとムーミンの世界,https://www.seidosha.co.jp/book/index.php?id=2868&status=published
ユリイカ1998年3月号,特集＝解体する［音楽］,https://www.seidosha.co.jp/book/index.php?id=2867&status=published
ユリイカ1998年2月臨時増刊号,総特集＝北野武そして／あるいはビートたけし,https://www.seidosha.co.jp/book/index.php?id=2866&status=published
ユリイカ1998年2月号,特集＝ポリセクシュアル,https://www.seidosha.co.jp/book/index.php?id=2865&status=published
ユリイカ1998年1月号,特集＝アントニオ・タブッキ,https://www.seidosha.co.jp/book/index.php?id=2864&status=published
ユリイカ1999年12月号,特集＝ミステリ・ルネッサンス,https://www.seidosha.co.jp/book/index.php?id=2863&status=published
ユリイカ1999年11月号,特集＝ケルアック,https://www.seidosha.co.jp/book/index.php?id=2862&status=published
ユリイカ1999年10月号,特集＝岡本太郎,https://www.seidosha.co.jp/book/index.php?id=2861&status=published
ユリイカ1999年9月号,特集＝ボルヘス,https://www.seidosha.co.jp/book/index.php?id=2947&status=published
ユリイカ1999年8月号,特集＝ヘミングウェイ,https://www.seidosha.co.jp/book/index.php?id=2859&status=published
ユリイカ1999年7月号,特集＝マルグリット・デュラス,https://www.seidosha.co.jp/book/index.php?id=2858&status=published
ユリイカ1999年6月号,特集＝村山槐多,https://www.seidosha.co.jp/book/index.php?id=2857&status=published
